row_index,domain_id,source_value,source_id,ground_truth_concept_id,ground_truth_concept_name,top_hits_json,standard_policy,result1_concept_id,result1_concept_name,result1_score,result1_vocabulary_id,result1_standard_concept,error
1222,Condition,Rhabdomyosarcoma,1223,4116201,rhabdomyosarcoma,"[{""concept_id"": 4116201, ""concept_name"": ""Rhabdomyosarcoma"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""302847003"", ""standard_concept"": ""S""}, {""concept_id"": 4300682, ""concept_name"": ""Embryonal rhabdomyosarcoma"", ""score"": 0.8583, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""404051002"", ""standard_concept"": ""S""}, {""concept_id"": 4297338, ""concept_name"": ""Spindle cell rhabdomyosarcoma"", ""score"": 0.8559, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""404055006"", ""standard_concept"": ""S""}, {""concept_id"": 4177239, ""concept_name"": ""Malignant tumor of muscle"", ""score"": 0.8472, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""363495004"", ""standard_concept"": ""S""}, {""concept_id"": 42511994, ""concept_name"": ""Rhabdomyosarcoma, NOS, of bone, NOS"", ""score"": 0.8396, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""8900/3-C41.9"", ""standard_concept"": ""S""}]",s_or_c,4116201.0,Rhabdomyosarcoma,1.0,SNOMED,S,
1223,Condition,Synovial sarcoma,1224,4116202,synovial sarcoma,"[{""concept_id"": 4116202, ""concept_name"": ""Synovial sarcoma"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""302851001"", ""standard_concept"": ""S""}, {""concept_id"": 36529054, ""concept_name"": ""Synovial sarcoma, NOS, of bone, NOS"", ""score"": 0.9243, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""9040/3-C41.9"", ""standard_concept"": ""S""}, {""concept_id"": 37167564, ""concept_name"": ""Primary synovial sarcoma"", ""score"": 0.9064, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""1268484002"", ""standard_concept"": ""S""}, {""concept_id"": 42513648, ""concept_name"": ""Neoplasm defined only by histology: Synovial sarcoma, NOS"", ""score"": 0.8806, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""9040/3-NULL"", ""standard_concept"": ""S""}, {""concept_id"": 36526261, ""concept_name"": ""Synovial sarcoma, epithelioid cell of connective, Subcutaneous and other soft tissues, NOS"", ""score"": 0.8717, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""9042/3-C49.9"", ""standard_concept"": ""S""}]",s_or_c,4116202.0,Synovial sarcoma,1.0,SNOMED,S,
1224,Condition,Pituitary adenoma,1225,4116211,pituitary adenoma,"[{""concept_id"": 4116211, ""concept_name"": ""Pituitary adenoma"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""254956000"", ""standard_concept"": ""S""}, {""concept_id"": 36555447, ""concept_name"": ""Atypical adenoma of pituitary gland"", ""score"": 0.9317, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""8140/1-C75.1"", ""standard_concept"": ""S""}, {""concept_id"": 44501500, ""concept_name"": ""Oxyphilic adenoma of pituitary gland"", ""score"": 0.9094, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""8290/0-C75.1"", ""standard_concept"": ""S""}, {""concept_id"": 44503672, ""concept_name"": ""Adenomatoid tumor, NOS, of pituitary gland"", ""score"": 0.9056, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""9054/0-C75.1"", ""standard_concept"": ""S""}, {""concept_id"": 44500499, ""concept_name"": ""Monomorphic adenoma of pituitary gland"", ""score"": 0.9038, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""8146/0-C75.1"", ""standard_concept"": ""S""}]",s_or_c,4116211.0,Pituitary adenoma,1.0,SNOMED,S,
1225,Condition,Papillary thyroid carcinoma,1226,4116228,papillary thyroid carcinoma,"[{""concept_id"": 4116228, ""concept_name"": ""Papillary thyroid carcinoma"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""255029007"", ""standard_concept"": ""S""}, {""concept_id"": 44500283, ""concept_name"": ""Papillary carcinoma, NOS, of thyroid gland"", ""score"": 0.9621, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""8050/3-C73.9"", ""standard_concept"": ""S""}, {""concept_id"": 37165586, ""concept_name"": ""Primary papillary thyroid carcinoma"", ""score"": 0.9352, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""1255191007"", ""standard_concept"": ""S""}, {""concept_id"": 44501645, ""concept_name"": ""Papillary carcinoma, columnar cell of thyroid gland"", ""score"": 0.8853, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""8344/3-C73.9"", ""standard_concept"": ""S""}, {""concept_id"": 44503156, ""concept_name"": ""Papillary cystadenocarcinoma, NOS, of thyroid gland"", ""score"": 0.8851, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""8450/3-C73.9"", ""standard_concept"": ""S""}]",s_or_c,4116228.0,Papillary thyroid carcinoma,1.0,SNOMED,S,
1226,Condition,"Gastrointestinal stromal tumor, malignant",1227,4116238,malignant tumor of digestive organ,"[{""concept_id"": 36543752, ""concept_name"": ""Stromal sarcoma, NOS, of gastrointestinal tract, NOS"", ""score"": 0.9267, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""8935/3-C26.9"", ""standard_concept"": ""S""}, {""concept_id"": 4170421, ""concept_name"": ""Gastrointestinal stromal tumor"", ""score"": 0.8944, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""420120006"", ""standard_concept"": ""S""}, {""concept_id"": 44502728, ""concept_name"": ""Gastrointestinal stromal tumor of gastrointestinal tract, NOS"", ""score"": 0.8785, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""8936/3-C26.9"", ""standard_concept"": ""S""}, {""concept_id"": 36549926, ""concept_name"": ""Stromal sarcoma, NOS, of intestinal tract, NOS"", ""score"": 0.8482, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""8935/3-C26.0"", ""standard_concept"": ""S""}, {""concept_id"": 36560232, ""concept_name"": ""Stromal sarcoma, NOS, of stomach, NOS"", ""score"": 0.8356, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""8935/3-C16.9"", ""standard_concept"": ""S""}]",s_or_c,36543752.0,"Stromal sarcoma, NOS, of gastrointestinal tract, NOS",0.9267,ICDO3,S,
1227,Condition,medial meniscus tear,1228,4116323,tear of medial meniscus of knee,"[{""concept_id"": 4116323, ""concept_name"": ""Tear of medial meniscus of knee"", ""score"": 0.9605, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""302932006"", ""standard_concept"": ""S""}, {""concept_id"": 4035415, ""concept_name"": ""Tear of meniscus of knee"", ""score"": 0.91, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""239720000"", ""standard_concept"": ""S""}, {""concept_id"": 4138283, ""concept_name"": ""Bucket handle tear of medial meniscus of knee"", ""score"": 0.9025, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""263123005"", ""standard_concept"": ""S""}, {""concept_id"": 77066, ""concept_name"": ""Derangement of medial meniscus"", ""score"": 0.9002, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""111222003"", ""standard_concept"": ""S""}, {""concept_id"": 75046, ""concept_name"": ""Old bucket handle tear of medial meniscus"", ""score"": 0.8969, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""86378006"", ""standard_concept"": ""S""}]",s_or_c,4116323.0,Tear of medial meniscus of knee,0.9605,SNOMED,S,
1228,Procedure,1 Level single Transforaminal epidural injection -Lumbar,1229,4117752,injection into lumbar epidural space,"[{""concept_id"": 4117752, ""concept_name"": ""Injection into lumbar epidural space"", ""score"": 0.8766, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""303614003"", ""standard_concept"": ""S""}, {""concept_id"": 4064007, ""concept_name"": ""Therapeutic lumbar epidural injection"", ""score"": 0.8618, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""171788003"", ""standard_concept"": ""S""}, {""concept_id"": 4243068, ""concept_name"": ""Epidural injection of anesthetic substance, therapeutic, lumbar, continuous"", ""score"": 0.8399, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""58611004"", ""standard_concept"": ""S""}, {""concept_id"": 4110978, ""concept_name"": ""Local anesthetic lumbar epidural block"", ""score"": 0.8358, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""180885006"", ""standard_concept"": ""S""}, {""concept_id"": 4073378, ""concept_name"": ""Epidural injection of neurolytic solution, lumbar"", ""score"": 0.8309, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""17753007"", ""standard_concept"": ""S""}]",s_or_c,4117752.0,Injection into lumbar epidural space,0.8766,SNOMED,S,
1229,Condition,Peripheral neuropathy,1230,4117779,peripheral nerve disease,[],s_or_c,,,,,,
1230,Condition,Noonan syndrome,1231,4118400,noonan's syndrome,"[{""concept_id"": 4118400, ""concept_name"": ""Noonan's syndrome"", ""score"": 0.9676, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""205824006"", ""standard_concept"": ""S""}, {""concept_id"": 37395784, ""concept_name"": ""Neurofibromatosis Noonan syndrome"", ""score"": 0.7627, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""715344006"", ""standard_concept"": ""S""}, {""concept_id"": 37109667, ""concept_name"": ""Noonan syndrome-like disorder with loose anagen hair"", ""score"": 0.7437, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""723444009"", ""standard_concept"": ""S""}, {""concept_id"": 37204479, ""concept_name"": ""Noonan syndrome-like disorder with juvenile myelomonocytic leukemia"", ""score"": 0.7058, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""783143001"", ""standard_concept"": ""S""}, {""concept_id"": 37109647, ""concept_name"": ""N syndrome"", ""score"": 0.6715, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""723410002"", ""standard_concept"": ""S""}]",s_or_c,4118400.0,Noonan's syndrome,0.9676,SNOMED,S,
1231,Procedure,thoracic epidural block,1232,4118957,local anesthetic thoracic epidural block,"[{""concept_id"": 4118957, ""concept_name"": ""Local anesthetic thoracic epidural block"", ""score"": 0.9486, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""302335002"", ""standard_concept"": ""S""}, {""concept_id"": 4335022, ""concept_name"": ""Thoracic subdural block"", ""score"": 0.9284, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""231257008"", ""standard_concept"": ""S""}, {""concept_id"": 4141679, ""concept_name"": ""Continuous thoracic epidural analgesia"", ""score"": 0.8935, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""427060008"", ""standard_concept"": ""S""}, {""concept_id"": 4117751, ""concept_name"": ""Injection into thoracic epidural space"", ""score"": 0.8926, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""303613009"", ""standard_concept"": ""S""}, {""concept_id"": 4332594, ""concept_name"": ""Local anesthetic thoracic intrathecal block"", ""score"": 0.8873, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""231252002"", ""standard_concept"": ""S""}]",s_or_c,4118957.0,Local anesthetic thoracic epidural block,0.9486,SNOMED,S,
1232,Procedure,Infantogram,1233,4118987,whole body x-ray of stillborn infant,"[{""concept_id"": 2792816, ""concept_name"": ""Plain Radiography of Infant Whole Body"", ""score"": 0.693, ""vocabulary_id"": ""ICD10PCS"", ""domain_id"": ""Procedure"", ""concept_code"": ""BW0MZZZ"", ""standard_concept"": ""S""}, {""concept_id"": 2879589, ""concept_name"": ""Imaging @ Anatomical Regions @ Plain Radiography @ Whole Body, Infant"", ""score"": 0.679, ""vocabulary_id"": ""ICD10PCS"", ""domain_id"": ""Procedure"", ""concept_code"": ""BW0M"", ""standard_concept"": ""S""}, {""concept_id"": 44811221, ""concept_name"": ""Pedobarography"", ""score"": 0.6446, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""863651000000102"", ""standard_concept"": ""S""}, {""concept_id"": 2871660, ""concept_name"": ""Imaging @ Anatomical Regions @ Plain Radiography @ Whole Body, Infant @ None @ None"", ""score"": 0.6187, ""vocabulary_id"": ""ICD10PCS"", ""domain_id"": ""Procedure"", ""concept_code"": ""BW0MZZ"", ""standard_concept"": ""S""}, {""concept_id"": 4056681, ""concept_name"": ""Plain X-ray"", ""score"": 0.6051, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""168537006"", ""standard_concept"": ""S""}]",s_or_c,2792816.0,Plain Radiography of Infant Whole Body,0.693,ICD10PCS,S,
1233,Condition,lateral meniscus tear,1234,4119146,tear of lateral meniscus of knee,"[{""concept_id"": 4119146, ""concept_name"": ""Tear of lateral meniscus of knee"", ""score"": 0.9589, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""302933001"", ""standard_concept"": ""S""}, {""concept_id"": 77067, ""concept_name"": ""Bucket handle tear of lateral meniscus of knee"", ""score"": 0.9152, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""275326005"", ""standard_concept"": ""S""}, {""concept_id"": 4116762, ""concept_name"": ""Old bucket handle tear of lateral meniscus"", ""score"": 0.9063, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""202089008"", ""standard_concept"": ""S""}, {""concept_id"": 4115690, ""concept_name"": ""Horizontal cleavage tear of lateral meniscus"", ""score"": 0.9049, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""202096005"", ""standard_concept"": ""S""}, {""concept_id"": 437954, ""concept_name"": ""Derangement of lateral meniscus"", ""score"": 0.9044, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""21333004"", ""standard_concept"": ""S""}]",s_or_c,4119146.0,Tear of lateral meniscus of knee,0.9589,SNOMED,S,
1234,Condition,Neutropenia,1235,4119158,neutropenic disorder,"[{""concept_id"": 320073, ""concept_name"": ""Neutropenia"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""165517008"", ""standard_concept"": ""S""}, {""concept_id"": 4119158, ""concept_name"": ""Neutropenic disorder"", ""score"": 0.91, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""303011007"", ""standard_concept"": ""S""}, {""concept_id"": 4218497, ""concept_name"": ""Granulocytopenic disorder"", ""score"": 0.8712, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""417672002"", ""standard_concept"": ""S""}, {""concept_id"": 4121120, ""concept_name"": ""Metabolic neutropenia"", ""score"": 0.8565, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""234424007"", ""standard_concept"": ""S""}, {""concept_id"": 440689, ""concept_name"": ""Agranulocytosis"", ""score"": 0.855, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""17182001"", ""standard_concept"": ""S""}]",s_or_c,320073.0,Neutropenia,1.0,SNOMED,S,
1235,Condition,Infective endocarditis,1236,4119460,infective endocarditis,"[{""concept_id"": 4119460, ""concept_name"": ""Infective endocarditis"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""233850007"", ""standard_concept"": ""S""}, {""concept_id"": 43020881, ""concept_name"": ""Infective endocarditis of cardiac valve"", ""score"": 0.9124, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""459067002"", ""standard_concept"": ""S""}, {""concept_id"": 43020873, ""concept_name"": ""Acute infective endocarditis"", ""score"": 0.8805, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""459056003"", ""standard_concept"": ""S""}, {""concept_id"": 4087075, ""concept_name"": ""Purulent endocarditis"", ""score"": 0.8736, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""2439002"", ""standard_concept"": ""S""}, {""concept_id"": 4116649, ""concept_name"": ""Bacterial endocarditis"", ""score"": 0.8626, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""301183007"", ""standard_concept"": ""S""}]",s_or_c,4119460.0,Infective endocarditis,1.0,SNOMED,S,
1236,Condition,Venous malformation,1237,4119775,venous malformation,"[{""concept_id"": 4119775, ""concept_name"": ""Venous malformation"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""234124003"", ""standard_concept"": ""S""}, {""concept_id"": 45766102, ""concept_name"": ""Peripheral venous malformation"", ""score"": 0.9557, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""703198009"", ""standard_concept"": ""S""}, {""concept_id"": 4175582, ""concept_name"": ""Congenital abnormality of vein"", ""score"": 0.9378, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""297222002"", ""standard_concept"": ""S""}, {""concept_id"": 3178556, ""concept_name"": ""Developmental venous anomaly"", ""score"": 0.9322, ""vocabulary_id"": ""Nebraska Lexicon"", ""domain_id"": ""Condition"", ""concept_code"": ""32080001000004105"", ""standard_concept"": ""S""}, {""concept_id"": 40487970, ""concept_name"": ""Congenital abnormality of systemic vein"", ""score"": 0.8734, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""448065006"", ""standard_concept"": ""S""}]",s_or_c,4119775.0,Venous malformation,1.0,SNOMED,S,
1237,Condition,Arteriovenous malformation,1238,4119780,congenital arteriovenous malformation,"[{""concept_id"": 4119780, ""concept_name"": ""Congenital arteriovenous malformation"", ""score"": 0.976, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""234141001"", ""standard_concept"": ""S""}, {""concept_id"": 4076794, ""concept_name"": ""Peripheral arteriovenous malformation"", ""score"": 0.9055, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""275519006"", ""standard_concept"": ""S""}, {""concept_id"": 4298134, ""concept_name"": ""Arteriovenous hemangioma"", ""score"": 0.9015, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""403966009"", ""standard_concept"": ""S""}, {""concept_id"": 4119783, ""concept_name"": ""Arteriovenous-lymphatic malformation"", ""score"": 0.8688, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""234157001"", ""standard_concept"": ""S""}, {""concept_id"": 45766216, ""concept_name"": ""Arteriovenous malformation of limb"", ""score"": 0.8472, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""703331008"", ""standard_concept"": ""S""}]",s_or_c,4119780.0,Congenital arteriovenous malformation,0.976,SNOMED,S,
1238,Condition,Interstitial lung disease,1239,4119786,interstitial lung disease,"[{""concept_id"": 4119786, ""concept_name"": ""Interstitial lung disease"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""233703007"", ""standard_concept"": ""S""}, {""concept_id"": 4273378, ""concept_name"": ""Interstitial pneumonia"", ""score"": 0.8737, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""64667001"", ""standard_concept"": ""S""}, {""concept_id"": 4044215, ""concept_name"": ""Nonspecific interstitial pneumonitis"", ""score"": 0.8684, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""129452008"", ""standard_concept"": ""S""}, {""concept_id"": 1075641, ""concept_name"": ""Interstitial pneumonitis"", ""score"": 0.8682, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""1306604007"", ""standard_concept"": ""S""}, {""concept_id"": 762964, ""concept_name"": ""Chronic interstitial lung disease"", ""score"": 0.8653, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""434301000124102"", ""standard_concept"": ""S""}]",s_or_c,4119786.0,Interstitial lung disease,1.0,SNOMED,S,
1239,Condition,Stable angina,1240,4119942,stable angina,"[{""concept_id"": 4119942, ""concept_name"": ""Stable angina"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""233819005"", ""standard_concept"": ""S""}, {""concept_id"": 37209632, ""concept_name"": ""Stable angina due to coronary arteriosclerosis"", ""score"": 0.8794, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""16754391000119100"", ""standard_concept"": ""S""}, {""concept_id"": 4161973, ""concept_name"": ""Progressive angina"", ""score"": 0.8585, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""371806006"", ""standard_concept"": ""S""}, {""concept_id"": 4078531, ""concept_name"": ""Status anginosus"", ""score"": 0.8122, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""19057007"", ""standard_concept"": ""S""}, {""concept_id"": 4324893, ""concept_name"": ""Typical angina"", ""score"": 0.7983, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""429559004"", ""standard_concept"": ""S""}]",s_or_c,4119942.0,Stable angina,1.0,SNOMED,S,
1240,Procedure,hemodialysis,1241,4120120,hemodialysis,"[{""concept_id"": 4120120, ""concept_name"": ""Hemodialysis"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""302497006"", ""standard_concept"": ""S""}, {""concept_id"": 4146536, ""concept_name"": ""Renal dialysis"", ""score"": 0.9437, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""265764009"", ""standard_concept"": ""S""}, {""concept_id"": 4051326, ""concept_name"": ""Intermittent hemodialysis"", ""score"": 0.8836, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""233575001"", ""standard_concept"": ""S""}, {""concept_id"": 4050863, ""concept_name"": ""Continuous hemodialysis"", ""score"": 0.8756, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""233578004"", ""standard_concept"": ""S""}, {""concept_id"": 4032243, ""concept_name"": ""Dialysis procedure"", ""score"": 0.8492, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""108241001"", ""standard_concept"": ""S""}]",s_or_c,4120120.0,Hemodialysis,1.0,SNOMED,S,
1241,Condition,Wilms tumor,1242,4120310,nephroblastoma,"[{""concept_id"": 4120310, ""concept_name"": ""Nephroblastoma"", ""score"": 0.7844, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""302849000"", ""standard_concept"": ""S""}, {""concept_id"": 44502250, ""concept_name"": ""Nephroblastoma, NOS, of kidney, NOS"", ""score"": 0.7543, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""8960/3-C64.9"", ""standard_concept"": ""S""}, {""concept_id"": 42512271, ""concept_name"": ""Nephroblastoma, NOS, of retroperitoneum"", ""score"": 0.7134, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""8960/3-C48.0"", ""standard_concept"": ""S""}, {""concept_id"": 37167663, ""concept_name"": ""Primary nephroblastoma"", ""score"": 0.696, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""1268714009"", ""standard_concept"": ""S""}, {""concept_id"": 42513607, ""concept_name"": ""Neoplasm defined only by histology: Nephroblastoma, NOS"", ""score"": 0.6919, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""8960/3-NULL"", ""standard_concept"": ""S""}]",s_or_c,4120310.0,Nephroblastoma,0.7844,SNOMED,S,
1242,Condition,Hypertriglyceridemia,1243,4120314,hypertriglyceridemia,"[{""concept_id"": 4120314, ""concept_name"": ""Hypertriglyceridemia"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""302870006"", ""standard_concept"": ""S""}, {""concept_id"": 4292079, ""concept_name"": ""Hyperlipoproteinemia"", ""score"": 0.9043, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""3744001"", ""standard_concept"": ""S""}, {""concept_id"": 432867, ""concept_name"": ""Hyperlipidemia"", ""score"": 0.9022, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""55822004"", ""standard_concept"": ""S""}, {""concept_id"": 4029892, ""concept_name"": ""Secondary hypertriglyceridemia"", ""score"": 0.8771, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""238087001"", ""standard_concept"": ""S""}, {""concept_id"": 4079886, ""concept_name"": ""Hyperalphalipoproteinemia"", ""score"": 0.873, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""238080004"", ""standard_concept"": ""S""}]",s_or_c,4120314.0,Hypertriglyceridemia,1.0,SNOMED,S,
